JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2465082; A.D. 2037-Jan-23 12:00:00.0000;-0.317863232;-0.316125968;0.00330607;0.014112106;-0.018670171;-0.002819996
2465082.083; A.D. 2037-Jan-23 14:00:00.0000;-0.316683605;-0.317678207;0.003071033;0.014198862;-0.018583517;-0.002820868
2465082.167; A.D. 2037-Jan-23 16:00:00.0000;-0.315496768;-0.319223213;0.002835927;0.014285144;-0.018496591;-0.002821674
2465082.25; A.D. 2037-Jan-23 18:00:00.0000;-0.314302761;-0.320760965;0.002600756;0.014370953;-0.018409395;-0.002822415
2465082.333; A.D. 2037-Jan-23 20:00:00.0000;-0.313101623;-0.322291438;0.002365526;0.014456289;-0.018321931;-0.00282309
2465082.417; A.D. 2037-Jan-23 22:00:00.0000;-0.311893393;-0.323814612;0.002130243;0.014541153;-0.0182342;-0.0028237
2465082.5; A.D. 2037-Jan-24 00:00:00.0000;-0.31067811;-0.325330465;0.001894911;0.014625546;-0.018146206;-0.002824246
2465082.583; A.D. 2037-Jan-24 02:00:00.0000;-0.309455815;-0.326838973;0.001659537;0.014709468;-0.018057949;-0.002824727
2465082.667; A.D. 2037-Jan-24 04:00:00.0000;-0.308226545;-0.328340115;0.001424125;0.01479292;-0.017969432;-0.002825144
2465082.75; A.D. 2037-Jan-24 06:00:00.0000;-0.306990341;-0.329833871;0.001188682;0.014875902;-0.017880657;-0.002825496
2465082.833; A.D. 2037-Jan-24 08:00:00.0000;-0.305747241;-0.331320218;0.000953211;0.014958414;-0.017791625;-0.002825785
2465082.917; A.D. 2037-Jan-24 10:00:00.0000;-0.304497285;-0.332799135;0.000717719;0.015040457;-0.017702339;-0.002826009
2465083; A.D. 2037-Jan-24 12:00:00.0000;-0.303240512;-0.334270601;0.000482211;0.015122032;-0.017612801;-0.00282617
2465083.083; A.D. 2037-Jan-24 14:00:00.0000;-0.301976959;-0.335734595;0.000246693;0.015203139;-0.017523012;-0.002826268
2465083.167; A.D. 2037-Jan-24 16:00:00.0000;-0.300706668;-0.337191096;1.11684E-05;0.015283779;-0.017432974;-0.002826303
2465083.25; A.D. 2037-Jan-24 18:00:00.0000;-0.299429676;-0.338640083;-0.000224356;0.015363952;-0.017342689;-0.002826274
2465083.333; A.D. 2037-Jan-24 20:00:00.0000;-0.298146022;-0.340081537;-0.000459876;0.015443659;-0.01725216;-0.002826183
2465083.417; A.D. 2037-Jan-24 22:00:00.0000;-0.296855746;-0.341515437;-0.000695385;0.015522899;-0.017161387;-0.002826029
2465083.5; A.D. 2037-Jan-25 00:00:00.0000;-0.295558885;-0.342941762;-0.000930879;0.015601675;-0.017070373;-0.002825813
