JDTDB;Calendar Date (TDB);X;Y;Z;VX;VY;VZ
2464855.75; A.D. 2036-Jun-11 06:00:00.0000;-0.024671304;-0.726384612;-0.008577703;0.020079584;-0.000762676;-0.001168973
2464855.833; A.D. 2036-Jun-11 08:00:00.0000;-0.022997941;-0.726446225;-0.008675095;0.020081114;-0.00071603;-0.001168419
2464855.917; A.D. 2036-Jun-11 10:00:00.0000;-0.021324454;-0.726503951;-0.00877244;0.020082536;-0.000669382;-0.001167858
2464856; A.D. 2036-Jun-11 12:00:00.0000;-0.019650854;-0.726557789;-0.008869738;0.020083851;-0.000622732;-0.001167292
2464856.083; A.D. 2036-Jun-11 14:00:00.0000;-0.017977149;-0.726607739;-0.008966988;0.020085059;-0.00057608;-0.001166719
2464856.167; A.D. 2036-Jun-11 16:00:00.0000;-0.016303347;-0.726653802;-0.009064191;0.020086159;-0.000529426;-0.00116614
2464856.25; A.D. 2036-Jun-11 18:00:00.0000;-0.014629459;-0.726695977;-0.009161345;0.020087151;-0.000482771;-0.001165555
2464856.333; A.D. 2036-Jun-11 20:00:00.0000;-0.012955492;-0.726734264;-0.00925845;0.020088036;-0.000436115;-0.001164964
2464856.417; A.D. 2036-Jun-11 22:00:00.0000;-0.011281456;-0.726768663;-0.009355505;0.020088814;-0.000389459;-0.001164366
2464856.5; A.D. 2036-Jun-12 00:00:00.0000;-0.009607359;-0.726799174;-0.009452511;0.020089484;-0.000342801;-0.001163763
2464856.583; A.D. 2036-Jun-12 02:00:00.0000;-0.007933211;-0.726825796;-0.009549465;0.020090046;-0.000296143;-0.001163153
2464856.667; A.D. 2036-Jun-12 04:00:00.0000;-0.006259021;-0.726848531;-0.009646369;0.020090502;-0.000249485;-0.001162537
2464856.75; A.D. 2036-Jun-12 06:00:00.0000;-0.004584797;-0.726867377;-0.009743221;0.020090849;-0.000202828;-0.001161914
2464856.833; A.D. 2036-Jun-12 08:00:00.0000;-0.002910549;-0.726882336;-0.009840021;0.020091089;-0.00015617;-0.001161286
2464856.917; A.D. 2036-Jun-12 10:00:00.0000;-0.001236285;-0.726893406;-0.009936769;0.020091222;-0.000109514;-0.001160651
2464857; A.D. 2036-Jun-12 12:00:00.0000;0.000437985;-0.726900588;-0.010033463;0.020091247;-6.28578E-05;-0.00116001
2464857.083; A.D. 2036-Jun-12 14:00:00.0000;0.002112253;-0.726903882;-0.010130104;0.020091165;-1.62031E-05;-0.001159363
2464857.167; A.D. 2036-Jun-12 16:00:00.0000;0.003786509;-0.726903288;-0.01022669;0.020090975;3.04503E-05;-0.00115871
2464857.25; A.D. 2036-Jun-12 18:00:00.0000;0.005460746;-0.726898807;-0.010323222;0.020090678;7.7102E-05;-0.00115805
2464857.333; A.D. 2036-Jun-12 20:00:00.0000;0.007134953;-0.726890438;-0.010419698;0.020090273;0.000123752;-0.001157384
2464857.417; A.D. 2036-Jun-12 22:00:00.0000;0.008809121;-0.726878182;-0.010516119;0.020089761;0.0001704;-0.001156713
2464857.5; A.D. 2036-Jun-13 00:00:00.0000;0.010483243;-0.726862038;-0.010612483;0.020089141;0.000217045;-0.001156035
2464857.583; A.D. 2036-Jun-13 02:00:00.0000;0.012157309;-0.726842008;-0.010708791;0.020088414;0.000263688;-0.00115535
2464857.667; A.D. 2036-Jun-13 04:00:00.0000;0.013831309;-0.72681809;-0.010805042;0.02008758;0.000310328;-0.00115466
2464857.75; A.D. 2036-Jun-13 06:00:00.0000;0.015505236;-0.726790286;-0.010901234;0.020086638;0.000356965;-0.001153964
2464857.833; A.D. 2036-Jun-13 08:00:00.0000;0.017179079;-0.726758596;-0.010997369;0.020085589;0.000403599;-0.001153261
2464857.917; A.D. 2036-Jun-13 10:00:00.0000;0.018852831;-0.72672302;-0.011093444;0.020084433;0.000450229;-0.001152552
2464858; A.D. 2036-Jun-13 12:00:00.0000;0.020526482;-0.726683558;-0.011189461;0.020083169;0.000496855;-0.001151837
2464858.083; A.D. 2036-Jun-13 14:00:00.0000;0.022200023;-0.726640211;-0.011285417;0.020081798;0.000543477;-0.001151116
2464858.167; A.D. 2036-Jun-13 16:00:00.0000;0.023873445;-0.726592979;-0.011381313;0.020080319;0.000590095;-0.001150389
2464858.25; A.D. 2036-Jun-13 18:00:00.0000;0.02554674;-0.726541862;-0.011477148;0.020078733;0.000636708;-0.001149656
2464858.333; A.D. 2036-Jun-13 20:00:00.0000;0.027219898;-0.726486861;-0.011572922;0.02007704;0.000683316;-0.001148917
2464858.417; A.D. 2036-Jun-13 22:00:00.0000;0.02889291;-0.726427976;-0.011668634;0.02007524;0.00072992;-0.001148171
2464858.5; A.D. 2036-Jun-14 00:00:00.0000;0.030565768;-0.726365208;-0.011764284;0.020073332;0.000776518;-0.001147419
2464858.583; A.D. 2036-Jun-14 02:00:00.0000;0.032238462;-0.726298557;-0.011859871;0.020071318;0.00082311;-0.001146662
2464858.667; A.D. 2036-Jun-14 04:00:00.0000;0.033910985;-0.726228023;-0.011955394;0.020069195;0.000869697;-0.001145898
2464858.75; A.D. 2036-Jun-14 06:00:00.0000;0.035583325;-0.726153607;-0.012050853;0.020066966;0.000916278;-0.001145128
2464858.833; A.D. 2036-Jun-14 08:00:00.0000;0.037255476;-0.72607531;-0.012146248;0.02006463;0.000962852;-0.001144352
2464858.917; A.D. 2036-Jun-14 10:00:00.0000;0.038927427;-0.725993132;-0.012241579;0.020062186;0.00100942;-0.001143569
2464859; A.D. 2036-Jun-14 12:00:00.0000;0.040599171;-0.725907074;-0.012336843;0.020059635;0.001055982;-0.001142781
2464859.083; A.D. 2036-Jun-14 14:00:00.0000;0.042270697;-0.725817135;-0.012432042;0.020056977;0.001102536;-0.001141987
2464859.167; A.D. 2036-Jun-14 16:00:00.0000;0.043941997;-0.725723318;-0.012527174;0.020054212;0.001149083;-0.001141186
2464859.25; A.D. 2036-Jun-14 18:00:00.0000;0.045613062;-0.725625622;-0.01262224;0.02005134;0.001195622;-0.00114038
2464859.333; A.D. 2036-Jun-14 20:00:00.0000;0.047283884;-0.725524048;-0.012717237;0.02004836;0.001242154;-0.001139567
2464859.417; A.D. 2036-Jun-14 22:00:00.0000;0.048954453;-0.725418596;-0.012812167;0.020045274;0.001288678;-0.001138749
2464859.5; A.D. 2036-Jun-15 00:00:00.0000;0.05062476;-0.725309268;-0.012907029;0.020042081;0.001335193;-0.001137924
2464859.583; A.D. 2036-Jun-15 02:00:00.0000;0.052294797;-0.725196064;-0.013001821;0.02003878;0.0013817;-0.001137093
2464859.667; A.D. 2036-Jun-15 04:00:00.0000;0.053964554;-0.725078985;-0.013096544;0.020035373;0.001428198;-0.001136256
2464859.75; A.D. 2036-Jun-15 06:00:00.0000;0.055634022;-0.724958032;-0.013191197;0.020031858;0.001474688;-0.001135414
2464859.833; A.D. 2036-Jun-15 08:00:00.0000;0.057303194;-0.724833204;-0.013285779;0.020028237;0.001521168;-0.001134565
2464859.917; A.D. 2036-Jun-15 10:00:00.0000;0.058972059;-0.724704504;-0.013380291;0.020024509;0.001567639;-0.00113371
2464860; A.D. 2036-Jun-15 12:00:00.0000;0.060640609;-0.724571931;-0.013474731;0.020020674;0.0016141;-0.001132849
